ドイツ語,日本語,英語,フランス語,イタリア語,スペイン語,ギリシャ語,ロシア語,デンマーク後,簡体字
de,ja,en,fr,it,es,el,ru,da,zh
ab,あちらへ,away,une façon,lontano,lejos,Μακριά,прочь,væk,离开
aber,しかし,but,mais,ma,pero,αλλά,но,men,但
Aberration,収差,Aberration,Aberration,Aberrazione,Aberración,Εκτροπή,Аберрация,Aberration,畸变
Aberrationsgesetz,異常法,Aberration law,Droit d'aberration,Legge sull'aberrazione,Ley de aberración,Εκτροπή του νόμου,Закон аберрации,Aberrationslov,畸变法
abgeben,引き渡す,hand over,remettre,devolvere,Entregar,παραδίνω,сдавать,hånd over,交出
abhängig,依存,dependent,dépendant,dipendente,dependiente,εξαρτώμενος,зависимый,afhængig,依赖
Ableitung,導出,Derivation,Dérivation,Derivazione,Derivación,Παραγωγή,Вывод,Afledning,推导
Ablenkbarkeit,多様性,Diversibility,Diversibilité,Diversibilità,Diversibilidad,Διαφορότης,Разнообразие,Diversitet,多样性
ablenken,順番,turn,tour,giro,giro,στροφή,повернуть,tur,转动
absolut,絶対,absolutely,Tout à fait,assolutamente,absolutamente,απολύτως,абсолютно,absolut,绝对地
Abstand,距離,Distance,Distance,Distanza,Distancia,Απόσταση,Расстояние,Afstand,距离
Abstraktion,抽象化,abstraction,abstraction,astrazione,abstracción,αφαίρεση,абстракция,abstraktion,抽象
Achse,軸,axis,axe,asse,eje,άξονας,ось,akse,轴
Additionstheorem,追加定理,Addition theorem,Théorème d'addition,Teorema aggiuntivo,Teorema de suma,Επιπλέον θεώρημα,Дополнительная теорема,Tilføjelse af sætning,添加定理
additive,添加物,additives,additifs,additivi,aditivos,πρόσθετα,добавки,Tilsætningsstoffer,添加剂
ähnlicher,もっと似ています,more similar,plus similaire,più simile,más similar,Παρόμοια,более похожие,mere lignende,更相似
all,alles,Alles,Alles,Alles,Ales,Υπαίθρια,Аллес,Alles,Alles
alle,みんな,Everyone,Tout le monde,Tutti,Todo el mundo,Ολοι,Каждый,Alle sammen,每个人
allerdings,それはそう,Indeed,En effet,Infatti,Por cierto,Πράγματι,Верно,Ja,的确
allgemein,全般的,general,général,generale,general,γενικός,Генеральная,generel,一般的
Allgemeinheit,一般性,Generality,Généralité,Generalità,Generalidad,Γενικότητα,Общность,Generalitet,概论
als,なので,as,comme,come,como,όπως και,в качестве,som,作为
also,それで,so,alors,Così,asi que,Έτσι,так,så,所以
am,で,at the,au,al,en el,στο,в,ved,在
Amplitude,振幅,amplitude,amplitude,ampiezza,amplitud,εύρος,амплитуда,amplitude,振幅
an,の上,on,sur,Su,en,επί,на,på,上
analoge,アナログ,analog,analogique,analogico,cosa análoga,αναλογικό,аналоговый,Analog,类似物
Analoges,類似,Analogous,Analogue,Analogo,Análogo,Ανάλογος,Аналогичный,Analog,类似
andere,他の,other,autre,Altro,otro,άλλα,Другой,Andet,其他
ändern,変化する,change,monnaie,modificare,cambio,αλλαγή,сдача,lave om,改变
Änderung,変形,modification,modification,modifica,modificación,τροποποίηση,модификация,modifikation,修改
Anfang,始まり,beginning,début,inizio,comienzo,αρχή,начало,starten,开始
Anfangs,初めに,At first,En premier,All'inizio,En primer lugar,Αρχικά,Во-первых,Først,首先
Anfangsgeschwindigkeit,初期速度,Initial speed,Vitesse initiale,Velocità iniziale,Velocidad inicial,Αρχική ταχύτητα,Начальная скорость,Oprindelig hastighed,初始速度
Anfangslage,初期の状況,Initial situation,Situation initiale,Situazione iniziale,Situación inicial,Αρχική κατάσταση,Первоначальный ситуация,Den oprindelige situation,最初情况
Anfangspunkt,出発点,Starting point,Point de départ,Punto di partenza,Punto de partida,Αφετηρία,Отправная точка,Udgangspunktet,初始点
Anfangspunkte,初期点,Initial points,Points initiaux,Punti iniziali,Puntos iniciales,Αρχικά σημεία,Начальные точки,Indledende punkter,初始点
Angabe,仕様,specification,spécification,specifica,especificación,προσδιορισμός,Технические характеристики,Specifikation,规格
Angaben,宣言,Declarations,Déclarations,Dichiarazioni,Declaraciones,Δηλώσεις,Декларации,Erklæringer,声明
angebracht,適切な,appropriate,approprié,adeguata,adecuado,κατάλληλος,соответствующий,passende,合适的
angeführte,リストされています,listed,répertorié,elencato,listado,εγγεγραμμένος,перечислен,Listet,列出
angeführten,リストされています,listed,répertorié,elencato,listado,εγγεγραμμένος,перечислен,Listet,列出
angegebenen,指定,specified,spécifié,specificato,especificado,καθορισμένος,указано,specificeret,指定的
angenommen,想定されています,assumed,assumé,presunto,ficticio,υποτίθεται,предполагается,antages,假定
angibt,示されています,indicated,indiqué,indicato,indicado,υποδεικνυόμενος,указано,angivet,表明的
Ankommen,到着,Arrive,Arriver,Arrivare,Llegar,Φθάνω,Прибыть,Ankomme,到达
Ankunft,到着,arrival,Arrivées,arrivo,llegada,άφιξη,прибытие,ankomst,到达
anlange,インシデント,incident,incident,incidente,incidente,περιστατικό,инцидент,utilsigtet hændelse,事件
Anlegen,投資,Invest,Investir,Investire,Invertir,Επενδύω,Инвестировать,Investere,投资
Anlehnung,傾く,Leaning,Penché,Pendente,Propensión,Κλίση,Наклоняющийся,Læner sig,倾斜
annähernd,ほぼ,nearly,presque,quasi,por poco,σχεδόν,Около,næsten,几乎
Annäherung,和解,Rapprochement,Rapprochement,Riavvicinamento,Acercamiento,Προσέγγιση,Спред,Tilnærmelse,和睦
Annalen,年代記,annals,annales,annali,anales,χρονικά,Аннал,Annals,志
annehmen,受け入れる,accept,J'accepte,accettare,aceptar,αποδέχομαι,принимать,acceptere,接受
Anregung,刺激,Stimulation,Stimulation,Stimolazione,Estímulo,Διέγερση,Стимуляция,Stimulation,刺激
anwenden,使用する,use,utilisation,uso,usar,χρήση,использовать,brug,利用
anwendet,使用済み,used,utilisé,Usato,usó,μεταχειρισμένος,использовал,Brugt,用过的
Anwendung,応用,application,application,applicazione,solicitud,εφαρμογή,заявление,Ansøgning,应用
Anzahl,番号,number,Numéro,numero,número,αριθμός,количество,nummer,数字
anzubaften,禁止される,to be banned,pour être banni,essere bandito,Ser prohibido,να απαγορευτεί,быть запрещенным,at blive forbudt,被禁止
anzugeben,示す,indicate,indiquer,indicare,indicar,υποδεικνύω,указывать,angive,表明
anzunehmen,受け入れる,accept,J'accepte,accettare,aceptar,αποδέχομαι,принимать,acceptere,接受
anzusehen,見るために,to watch,regarder,guardare,ver,να δω,смотреть,at se,观看
äquivalent,に相当,equivalent to,équivalent à,equivalente a,equivalente a,ισοδυναμεί με,эквивалентно,svarende til,相当于
Arbeit,仕事,work,travailler,opera,trabajar,δουλειά,Работа,arbejde,工作
Arbeiten,働くために,To work,Travailler,Lavorare,Trabajar,Για να δουλέψω,Работать,At arbejde,去工作
Argument,口論,argument,dispute,discussione,argumento,διαφωνία,аргумент,argument,争论
Argumente,議論,Arguments,Arguments,argomenti,Argumentos,Επιχειρήματα,Аргументы,Argumenter,参数
Art,親切,Kind,Gentil,Genere,Tipo,Είδος,Добрый,Venlig,种类
Asymmetrie,非対称,asymmetry,asymétrie,asimmetria,asimetría,ασυμμετρία,асимметрия,Asymmetri,不对称
Asymmetrien,非対称,Asymmetries,Asymétries,Asimmetrie,Asimetrías,Ασυμμετρίες,Асимметрия,Asymmetrier,不对称
at,で,at,à,a,a,στο,в,på,在
Auch,また,Also,Aussi,Anche,También,Επίσης,Также,Også,还
Auf,の上,on,sur,Su,en,επί,на,på,上
aufeinander,お互いに,on each other,sur l'un et l'autre,l'uno sull'altro,el uno del otro,ο ένας στον άλλο,друг на друга,på hinanden,彼此
Auffassung,意見,opinion,opinion,opinione,opinión,γνώμη,мнение,mening,观点
Aufgabe,仕事,task,tâche,compito,tarea,έργο,задача,opgave,任务
aufgefaßt,要約,summarized,résumé,riassunto,resumido,συνοπτικός,суммировано,opsummeret,总结
aufgestellte,設定,set -up,d'installation,impostare,configurar,στήνω,настраивать,Opsætning,设置
aufgestellter,設定,set -up,d'installation,impostare,configurar,στήνω,настраивать,Opsætning,设置
Auflösen,溶かす,Dissolve,Dissoudre,Sciogliere,Disolver,Διαλύω,Растворить,Opløse,溶解
aufrechterhalten,維持,maintain,maintenir,mantenere,mantener,διατηρούν,поддерживать,opretholde,维持
aufs,に,onto,sur,su,sobre,επάνω σε,на,på,上
Aufsuchen,行きます,Go to,Aller à,Vai a,Ir,Παω σε,Перейти к,Gå til,去
auftreffende,直立,upright,droit,in posizione verticale,vertical,όρθιος,в вертикальном положении,oprejst,直立
auftretenden,発生,occurring,qui se produit,che si verifica,que ocurre,απαντώμενος,встречается,forekommer,发生
aufzählen,列挙します,enumerate,énumérer,enumerare,enumerar,απαριθμώ,перечислять,Tæller,枚举
aufzufassen,理解する,understand,comprendre,comprendere,comprender,καταλαβαίνουν,понять,forstå,理解
Auge,目,Eye,Œil,Occhio,Ojo,Μάτι,Глаз,Øje,眼睛
Augenblick,一瞬,moment,moment,momento,momento,στιγμή,мгновенный,øjeblik,片刻
Aus,out,Out of,Hors de,Fuori da,Fuera de,Εκτός,Снаружи,Ud af,在......之外
ausbreitet,展開する,spread,se propager,differenza,untado,εξάπλωση,распространять,spredning,传播
Ausbreitungsgeschwindig,広がり,Spreading,Diffusion,Diffusione,Extensión,Διάδοση,Распространяющийся,Breder sig,蔓延
Ausdruck,表現,Expression,Expression,Espressione,Expresión,Εκφραση,Выражение,Udtryk,表达
ausdrücken,表現するために,to express,exprimer,esprimere,para expresar,να εκφράσουν,выражать,at udtrykke,表达
Ausdrucksweise,表現モード,Mode of expression,Mode d'expression,Modalità di espressione,Modo de expresión,Τρόπος έκφρασης,Способ выражения,Udtrykstilstand,表达方式
ausdrückt,表現,expressed,exprimé,espresso,expresado,εκφρασμένος,выражен,gav udtryk for,表达
Ausgangspunkt,出発点,starting point,point de départ,punto di partenza,punto de partida,αφετηρία,отправная точка,Udgangspunktet,初始点
ausgedrückt,表現,expressed,exprimé,espresso,expresado,εκφρασμένος,выражен,gav udtryk for,表达
ausgehenden,発信,outgoing,sortant,estroverso,extrovertido,εξερχόμενος,исходящий,udadvendt,外向
ausgemessen,測定,measured,mesuré,misurato,Medido,μετρημένος,измеренный,målt,测量
ausgesandt,放出,emitted,émis,emesso,emitido,εκπέμπεται,испускаемый,udsendes,发出
ausgesandten,放出,emitted,émis,emesso,emitido,εκπέμπεται,испускаемый,udsendes,发出
ausgestatteter,装備,equipped,équipé,equipaggiato,equipado,εξοπλισμένος,оснащен,udstyret,设备齐全
ausgeübten,加えられました,exerted,exercé,esercitato,ejercido,ασκημένος,нагружен,udøves,施加了
Aussagen,証言します,Testify,Témoigner,Testimoniare,Testificar,Καταθέτω,Свидетельствовать,Vidner,作证
ausschließ,除外,excluding,à l'exclusion,escluso,Excluyendo,εξαιρούμενος,исключая,eksklusive,排除
außer,を除外する,except,à l'exception,tranne,excepto,εκτός,кроме,undtagen,除了
außerdem,それに加えて,in addition to that,en plus de ça,in aggiunta a ciò,además de eso,Εκτός από αυτό,в дополнение к этому,Derudover,在此之上
ausübe,エクササイズ,exercise,exercer,esercizio,ejercicio,άσκηση,упражнение,dyrke motion,锻炼
auszudrücken,特急,express,Express,esprimere,Rápido,εξπρές,выражать,Express,表示
auszumessenden,露出する,to be exposed,être exposé,essere esposto,estar expuesto,να εκτεθεί,быть выставленным,at blive udsat,被暴露
auszumessender,露出する,to be exposed,être exposé,essere esposto,estar expuesto,να εκτεθεί,быть выставленным,at blive udsat,被暴露
Bahn,レール,Rail,Rail,Rotaia,Carril,Ράγα,Железнодорожный,Jernbane,轨
Be,なれ,Be,Être,Essere,Ser,Είναι,Быть,Være,是
beachtet,観察,observed,observé,osservato,observado,παρατηρημένος,наблюдаемый,observeret,观察到的
bedeuten,平均,mean,moyenne,significare,significar,σημαίνω,иметь в виду,betyde,意思是
bedeutet,意味,means,moyens,significa,medio,που σημαίνει,означает,midler,方法
Bedeutung,意味,meaning,sens,significato,sentido,έννοια,значение,betyder,意义
Bedingungen,条件,conditions,les conditions,condizioni,condiciones,συνθήκες,условия,betingelser,条件
beeinflussen,影響,influence,rayonnement,influenza,influencia,επιρροή,влияние,indflydelse,影响
beeinflußt,影響を受けた,influenced,influencé,influenzato,influenciado,επιρροή,под влиянием,påvirket,受影响
befähigt,有能,capable,capable,capace,capaz,ικανός,способный,i stand til at,有能力的
befänden,主張,insistence,insistance,insistenza,insistencia,επιμονή,настойчивость,insistering,坚持
befinde,探す,find,trouver,trova,encontrar,εύρημα,найти,finde,寻找
Befinden,調子,Condition,Condition,Condizione,Condición,Κατάσταση,Условие,Tilstand,健康）状况
Befindet,位置した,Located,Situé,Situato,Situado,Τοποθετημένος,Расположен,Befinde sig,位于
befindlich,位置した,located,situé,Situato,situado,τοποθετημένος,расположен,befinde sig,位于
befugt,許可,authorized,autorisé,autorizzato,autorizado,εξουσιοδοτημένο,уполномочен,autoriseret,授权
begnügen,満足すること,be satisfied,être satisfait,essere soddisfatto,estar satisfecho,ικανοποιημένος,быть довольным,være tilfreds,满意
Begriffe,条項,Terms,Conditions,Termini,Términos,Οροι,Условия,Vilkår,术语
begriffen,了解した,understood,entendu,inteso,comprendido,κατανοητό,понял,forstået,理解
begriffenes,条項,terms,termes,termini,términos,όροι,условия,vilkår,术语
behalten,保つ,to keep,garder,tenere,mantener,να διατηρήσω,хранить,At beholde,保持
behandelten,扱われた,treated,traité,trattato,tratado,αντιμετωπίζεται,обработанный,behandlet,治疗
bei,で,at,à,a,a,στο,в,på,在
beide,両方,both,tous les deux,Entrambi,ambas cosas,και τα δυο,оба,begge,两个都
beiden,両方,both,tous les deux,Entrambi,ambas cosas,και τα δυο,оба,begge,两个都
beider,の中に,in the,dans le,nel,en el,στο,у нее,I,在里面
beifügt,追加した,added,ajoutée,aggiunto,adicional,προστιθέμενος,добавлен,Tilføjet,添加
beigegeben,添付,attached,ci-joint,Allegata,adjunto,συνδεδεμένος,прикрепил,Vedhæftet,随附的
beilegen,囲まれます,enclose,joindre,accludere,encerrar,επισυνάπτω,приложить,vedlægge,括
beim,で,at the,au,al,en el,στο,в,ved,在
beimessen,食事中,during the meal,pendant le repas,durante il pasto,durante la comida,κατά τη διάρκεια του γεύματος,во время еды,Under måltidet,在用餐期间
Beispiele,例,Examples,Exemples,Esempi,Ejemplos,Παραδείγματα,Примеры,Eksempler,例子
beispielsweise,例えば,for example,par exemple,Per esempio,por ejemplo,για παράδειγμα,Например,for eksempel,例如
bekannt,知られています,known,connu,conosciuto,conocido,γνωστός,известен,Kendt,已知
beliebig,どれか,any,n'importe quel,qualunque,ningún,όποιος,Любые,nogen,任何
beliebige,どれか,any,n'importe quel,qualunque,ningún,όποιος,Любые,nogen,任何
beliebigen,どれか,any,n'importe quel,qualunque,ningún,όποιος,Любые,nogen,任何
beliebiger,どれか,any,n'importe quel,qualunque,ningún,όποιος,Любые,nogen,任何
bemerke,知らせ,notice,remarquer,Avviso,aviso,ειδοποίηση,уведомление,varsel,注意
bemerken,知らせ,notice,remarquer,Avviso,aviso,ειδοποίηση,уведомление,varsel,注意
bemerkenswert,顕著,remarkable,remarquable,notevole,Notable,αξιοσημείωτος,замечательный,bemærkelsesværdig,卓越
bemerkt,気がついた,noticed,remarqué,si accorse,observó,παρατηρημένος,обратил внимание,bemærket,注意到
benutzten,使用済み,used,utilisé,Usato,usó,μεταχειρισμένος,использовал,Brugt,用过的
Benutzung,使用する,use,utilisation,uso,usar,χρήση,использовать,brug,利用
beobachtbare,観察可能,observable,observable,osservabile,observable,αισθητός,наблюдаемый,observerbar,可观察
Beobachter,観察者,observer,observateur,osservatore,observador,παρατηρητής,наблюдатель,Observer,观察者
Beobachters,観察者,Observer,Observateur,Osservatore,Observador,Παρατηρητής,Наблюдатель,Observer,观察者
berechnen,計算する,to calculate,calculer,calcolare,calcular,να υπολογίσω,вычислять,at beregne,计算
bereits,すでに,already,déjà,già,ya,ήδη,уже,allerede,已经
Bern,バーン,Bern,Berne,Berna,Berneno,Βέρνη,Берн,Bern,伯尔尼
berücksichtigen,検討,consider,envisager,ritenere,considerar,σκεφτείτε,рассмотреть возможность,overveje,考虑
berücksichtigt,考慮されます,taken into account,pris en compte,preso in considerazione,tenido en cuenta,λαμβάνονται υπόψη,принять во внимание,tages hensyn til,考虑到
Berücksichtigung,考慮,Consideration,Considération,Considerazione,Consideración,Θεώρηση,Рассмотрение,Betragtning,考虑
Beschaffen,調達します,Procure,Procurer,Procurarsi,Obtener,Προμηθεύω,Закупать,Anskaffe,采购
beschaffene,作る,made,fabriqué,fatto,hecha,έκανε,сделанный,lavet,制成
Beschaffenheit,自然,nature,la nature,natura,naturaleza,φύση,природа,natur,自然
beschleunigt,加速,accelerated,accéléré,accelerato,acelerado,επιταχυνόμενος,ускорен,accelereret,加速
beschleunigten,加速,accelerated,accéléré,accelerato,acelerado,επιταχυνόμενος,ускорен,accelereret,加速
Beschleunigung,加速度,acceleration,accélération,accelerazione,aceleración,επιτάχυνση,ускорение,acceleration,加速度
Beschleunigungszahl,加速番号,Acceleration number,Numéro d'accélération,Numero di accelerazione,Número de aceleración,Αριθμός επιτάχυνσης,Ускорение номера,Accelerationsnummer,加速号码
Beschreibung,説明,description,la description,descrizione,descripción,περιγραφή,описание,beskrivelse,描述
besitzen,自分の,own,posséder,possedere,propio,το δικό,собственный,egen,自己的
besonderen,特別な,special,spécial,speciale,especial,ειδικός,специальный,særlig,特别的
beständig,耐性,resistant,résistant,resistente,resistente,ανθεκτικός,устойчивый,modstandsdygtig,抵抗的
bestimmen,決定,determine,déterminer,determinare,determinar,καθορίσει,определять,bestemme,决定
betrachten,由来,regard,qui concerne,considerare,respecto,σχέση,внимание,betragtning,看待
Betrachtung,考慮,Consideration,Considération,Considerazione,Consideración,Θεώρηση,Рассмотрение,Betragtning,考虑
Betrag,額,amount,montant,Quantità,Monto,ποσό,количество,beløb,数量
betreffen,影響,affect,affecter,influenzare,afectar,επηρεάζουν,оказывать воздействие,påvirke,影响
bewegen,動く,move,mouvement,muoversi,Muevete,κίνηση,шаг,bevæge sig,移动
Bewegung,動き,movement,mouvement,movimento,movimienot,κίνηση,движение,bevægelse,移动
Bewegungsenergie,マストエネルギー,Masting energy,Énergie,Energia per l'albero,Energía de mascotas,Ενέργεια μαστίγας,Мастерическая энергия,Masting energi,桅杆能量
Bewegungsgleichungen,動き方程式,Movement equations,Équations de mouvement,Equazioni del movimento,Ecuaciones de movimiento,Εξισώσεις κίνησης,Движение уравнения,Bevægelsesligninger,运动方程
Bewegungszustande,動きの動き,Movement of movement,Mouvement de mouvement,Movimento del movimento,Movimiento de movimiento,Κίνηση κίνησης,Движение движения,Bevægelse af bevægelse,运动的运动
Beweis,証拠,proof,preuve,prova,prueba,απόδειξη,доказательство,bevis,证明
beweisen,証明,prove,prouver,dimostrare,demostrar,αποδεικνύω,доказывать,bevise,证明
bezeichnen,説明,describe,décris,descrivere,describir,περιγράφω,описывать,beskrive,描述
beziehen,関連,relate,relater,relazionare,relatar,σχετίζομαι,относятся,forholde sig,涉及
Beziehung,関係,relationship,relation,relazione,relación,σχέση,отношение,forhold,关系
bezogen,ベース,based,basé,basato,establecido,με βάση,основанный на,baseret,基于
bezüglich,参照すると,with reference to,en référence à,in riferimento a,con referencia a,με αναφορά σε,со ссылкой на,med henvisning til,关于
bilden,形,form,formulaire,modulo,forma,μορφή,форма,form,形式
bis,それまで,until,jusqu'à,Fino a,Hasta que,μέχρι,до того как,så længe,直到
bisher,これまでのところ,so far,jusqu'à présent,finora,hasta aquí,μέχρι τώρα,уже,indtil nu,至今
bleibt,残っています,remains,restes,resti,restos,λείψανα,останки,forbliver,遗迹
braucht,ニーズ,needs,Besoins,necessità,necesidades,ανάγκες,потребности,Behov,需要
bringt,もたらす,brings,apporte,porta,trayera,προσφέρει,приносит,bringer,带来
charakterisiert,特徴付けられます,characterized,caractérisé,caratterizzato,caracterizada,χαρακτηρισμένος,охарактеризовано,karakteriseret,特征
da,そこの,there,là,là,allá,εκεί,там,der,那里
dadurch,それによって,thereby,ainsi,in tal modo,de este modo,εκ τούτου,тем самым,derved,从而
dafür,したがって,Therefore,Par conséquent,Perciò,Por lo tanto,Επομένως,Следовательно,Derfor,所以
dagegen,それに対して,against it,encontre,contro di esso,En contra,εναντίον του,против этого,imod det,反对
daher,したがって、,hence,Par conséquent,quindi,por eso,ως εκ τούτου,следовательно,Derfor,因此
damit,そうするには,in order to,pour,in modo da,con el fin de,ώστε να,чтобы,for at,为了
dann,それから,then,alors,poi,después,έπειτα,тогда,derefter,然后
darauf,その後,thereon,là,su di esso,al respecto,εκ τούτου,на этом,derpå,在那里
daraus,これから,from this,de cette,da questo,de esto,από αυτό,из этого,fra dette,由此
dargestellt,描かれています,depicted,représenté,rappresentato,representado,απεικονιζόμενος,изображен,afbildet,描绘
darstellenden,代表,representative,représentant,rappresentante,representante,εκπρόσωπος,представитель,repræsentant,代表
darüber,そのことについて,about that,à propos de ça,riguardo a questo,sobre eso,γι 'αυτό,об этом,om det,关于那个
darum,したがって,therefore,Donc,dunque,por lo tanto,επομένως,следовательно,derfor,所以
das,,the,la,il,la,ο,а,det,这
dasjenige,それ,that,ce,Quello,que,ότι,что,at,那
daß,それ,that,ce,Quello,que,ότι,что,at,那
dasselbe,同じこと,the same thing,la même chose,la stessa cosa,la misma cosa,το ίδιο πράγμα,тоже самое,det samme,同样的事情
dauern,過去,last,dernière,Ultimo,ultimo,τελευταίος,последний,sidst,最后的
dauernd,絶え間ない,constant,constant,costante,constante,συνεχής,постоянный,konstant,持续的
davon,それから,from that,à partir de ce,da quello,a partir de ese,από αυτό,От этого,fra det,因此
dazu,に,to,à,a,a,προς την,к,til,至
definieren,定義,define,définir,definire,definir,καθορίζω,определять,Definere,定义
definiert,定義されています,Are defined,Sont définis,Sono definiti,Están definidos,Ορίζονται,Определены,Er defineret,定义
