ドイツ語,日本語,英語,フランス語,イタリア語,スペイン語,ギリシャ語,ロシア語,デンマーク後,簡体字
Theorie,仮説,theory,la théorie,teoria,teoría,θεωρία,теория,teori,理论
Theorien,理論,Theories,Théories,Teorie,Teorías,Θεωρίες,Теории,Teorier,理论
tierenden,縫合,suture,suture,suturare,sutura,συρράπτω,шар,sutur,缝合
Tino,ティノ,Tino,Tinro,Tino,Tino,Κουτάβι,Тино,Tino,蒂诺
tischen,テーブル,tables,les tables,tavoli,mesas,τραπέζια,столы,Tabeller,表
tome,私に,tome,tome,per me,a mi,σε μένα,мне,til mig,对我来说
Tot,死,Dead,Morte,Morto,Muerto,Νεκρός,Мертвый,Død,死的
trachteten,保つ,sustain,soutenir,sostenere,sostener,υποστηρίζω,поддерживать,opretholde,支持
Trans,トランス,Trans,Trans,Trans,Trans,Τσίμπημα,Транс,Trans,反式
Transformation,変身,transformation,transformation,trasformazione,transformación,μεταμόρφωση,трансформация,transformation,转型
Transformationen,変換,Transformations,Transformations,Trasformazioni,Transformaciones,Μετασχηματισμοί,Преобразования,Transformationer,转型
Transformations,変身,Transformation,Transformation,Trasformazione,Transformación,Μεταμόρφωση,Трансформация,Transformation,转型
Transformationsgleichungen,変換方程式,Transformation equations,Équations de transformation,Equazioni di trasformazione,Ecuaciones de transformación,Εξισώσεις μετασχηματισμού,Уравнения преобразования,Transformationsligninger,转换方程
transformieren,変身,transform,transformer,trasformare,transformar,μεταμορφώνω,преобразование,Transform,转换
Transformiert,変換,Transformed,Transformé,Trasformato,Transformado,Μετασχηματισμένος,Трансформирован,Transformeret,转变
Translations,翻訳,Translations,Traductions,Traduzioni,Traducciones,Μεταφράσεις,Переводы,Oversættelser,翻译
Translationsbewegung,翻訳運動,Translation movement,Mouvement de traduction,Movimento di traduzione,Movimiento de traducción,Μετάφραση,Переводное движение,Oversættelsesbevægelse,翻译运动
Transversale,横方向,Transversal,Transversale,Trasversale,Transversal,Εγκάρσιος,Поперечный,Transversal,横向
transversalen,横方向,transversal,transversale,trasversale,transversal,εγκάρσιος,поперечный,Transversal,横向
treffenden,apt,apt,apte,Apt,apto,κατάλληλος,удачный,apt,易于
trennen,分ける,separate,séparé,separato,separado,ξεχωριστός,отдельный,adskille,分离
treu,忠実,faithful,fidèle,fedele,fiel,πιστός,верный,trofast,可信
trischen,トリック,tric,tric,tric,tric,τρικός,трика,Tric,三
tritt,キック,kick,donner un coup,calcio,patada,λάκτισμα,пинать,sparke,踢
Übelstand,悪の,Evil,Mauvais,Cattivo,Demonio,Κακό,Зло,Ond,邪恶的
Über,その上,Above,Au dessus,Sopra,Arriba,Πάνω από,Выше,Over,以上
überbrückt,ブリッジ,bridged,ponté,Bridged,puente,γεφυρωμένος,мосто,broede,桥接
übereinstimmen,合わせる,to match,correspondre,abbinare,para igualar,να ταιριάζει,в соответствии с,at matche,匹配
Übereinstimmung,に従って,accordance,conformité,accordo,conformidad,συμφωνία,соответствие,i overensstemmelse,按照
überflüssig,余分な,superfluous,superflu,superfluo,superfluo,περιττός,лишний,overflødig,多余
übergehen,合格,pass,passer,passaggio,pasar,πέρασμα,проходить,passere,经过
übergeht,変換,transforms,se transforme,trasformazioni,transformaciones,μεταμορφώ,преобразование,transformerer,变换
Überlegung,考慮,consideration,considération,considerazione,consideración,θεώρηση,рассмотрение,betragtning,考虑
Überlegungen,考慮事項,Considerations,Considérations,Considerazioni,Consideraciones,Σκέψεις,Соображения,Overvejelser,考虑因素
Überlicht,全体,Overall,Globalement,Complessivamente,General,Συνολικά,Общий,samlet set,全面的
Überlichtgeschwindigkeiten,オーバーホール速度,Overhaul speeds,Révision des vitesses,Velocità di revisione,Velocidad de revisión,Εναπόσπλωση ταχύτητας,Капитальный ремонт скорость,Undersøg hastigheder,大修速度
übersichtliche,クリア,clear,dégager,chiaro,claro,Σαφή,Чисто,klar,清除
überwunden,克服,overcome,surmonter,superare,superar,καταβάλλω,превосходить,overvinde,克服
übliche,いつもの,usual,habituel,solito,habitual,συνήθης,обычный,sædvanlig,通常
üblichen,いつもの,usual,habituel,solito,habitual,συνήθης,обычный,sædvanlig,通常
übrigens,ところで,by the way,d'ailleurs,a proposito,de paso,Παρεμπιπτόντως,кстати,i øvrigt,顺便一提
Ugg,ugg,Ugg,Ugg,Ugg,Ugg,Ugg,Угг,Ugg,UGG
Uhr,見る,watch,Regardez,guarda,reloj,παρακολουθώ,смотреть,kigge på,手表
Uhren,時計,Watch,Regardez,Guadare,Reloj,Παρακολουθώ,Смотреть,Kigge på,手表
Uhrzeigerstellung,時計仕掛け,Clockwork,Horloge,Orologio,Aparato de relojería,Μηχανισμός ωρολογιού,Часовой,Urværk,发条
Uhrzeigerstellungen,時計回りの位置,Clockwise positions,Positions dans le sens horaire,Posizioni in senso orario,Posiciones en sentido horario,Δεξιόστροφα θέσεις,По часовой стрелке позиции,Med uret,顺时针位置
um,その周り,around,autour de,intorno a,alrededor,περίπου,около,rundt om,大约
Umgebung,近傍,vicinity,environs,vicinanza,vecindad,γειτνίαση,окрестности,nærhed,附近
Umkehrung,逆転,reversal,renversement,inversione,inversión,αντιστροφή,разворот,vending,逆转
umschließt,囲まれた,surrounded,entouré,circondato,rodeado,περιτριγυρισμένος,окруженный,omgivet,包围
umschlossen,同封,enclosed,enfermé,chiuso,adjunto,περίφρακτος,прилагается,lukket,封闭
Umstande,状況,Circumstances,Conditions,Circostanze,Circunstancias,Περιστάσεις,Обстоятельства,Omstændigheder,情况
Umstandes,状況,Circumstance,Circonstance,Circostanza,Circunstancia,Περίσταση,Обстоятельство,Omstændighed,环境
un,国連,U.N,ONU,U.N,NACIONES UNIDAS,ΗΝΩΜΕΝΑ ΕΘΝΗ,ООН,U.N,联合国
unabhängig,独立して,independently,indépendamment,indipendentemente,independientemente,ανεξάρτητα,независимо,uafhængigt,独立
unbekannte,わからない,unknown,inconnue,sconosciuto,desconocido,άγνωστος,неизвестный,ukendt,未知
und,と,and,et,e,y,και,а также,og,和
une,une,une,incertain,une,une,ανή,ун,Une,UNE
unendlich,無限,infinite,infini,infinito,infinito,άπειρος,бесконечный,uendelig,无穷
Ungenauigkeit,不正確,inaccuracy,inexactitude,inesattezza,inexactitud,ανακρίβεια,неточность,unøjagtighed,不准确
universelle,ユニバーサル,universal,universel,universale,universal,Παγκόσμιος,универсальный,universel,普遍的
unmittelbar,すぐに,immediate,immédiat,immediato,inmediato,άμεσος,немедленный,umiddelbar,即时
unmittelbaren,直接,direct,direct,diretto,directo,απευθείας,непосредственный,direkte,直接的
uns,我ら,us,nous,noi,a nosotros,μας,нас,os,我们
unter,下,under,en dessous de,sotto,por debajo,υπό,под,under,在下面
Unterlichtgeschwindigkeit,サイドライン速度,Sideline speed,Vitesse de touche,Velocità laterale,Velocidad lateral,Ταχύτατα ταχύτητα,Боковая скорость,Sideliniehastighed,边线速度
unterscheiden,差別化します,differentiate,différencier,differenziare,diferenciar,διαφοροποιούν,дифференцировать,differentiere,区分
Unterscheidung,違い,Distinction,Distinction,Distinzione,Distinción,Διάκριση,Различие,Forskel,区别
untersuchen,調査,investigate,enquêter,indagare,investigar,ερευνώ,расследовать,undersøge,调查
unterworfene,主題,subject,matière,materia,tema,θέμα,предмет,emne,主题
unveränderlich,変更不可,unchangeable,non modifiable,immutabile,inmutable,αμετάβλητος,неизменная,uforanderlig,不可改变的
unverträgliche,非互換,incompatible,incompatible,incompatibile,incompatible,ασύμβατες,несовместимый,uforenelig,不相容
ursprung,元,origin,origine,origine,origen,προέλευση,источник,oprindelse,起源
Urteile,判断,Judgments,Jugements,Sentenze,Juicios,Αποφάσεις,Суждения,Domme,判断
Vektor,ベクター,vector,vecteur,vettore,vector,διάνυσμα,вектор,Vector,向量
Vektoren,ベクトル,Vectors,Vecteurs,Vettori,Vectores,Φορείς,Векторы,Vektorer,向量
Vektorprodukt,ベクトル製品,Vector product,Produit vectoriel,Prodotto vettoriale,Producto vectorial,Διανυσματικό προϊόν,Векторный продукт,Vektorprodukt,向量产品
ver,Ver,ver,ver,ver,a fondo,κηλιδώνω,версия,ver,ver
Veranlassung,扇動,instigation,instigation,istigazione,instigación,υποκίνηση,подстрекательство,ansættelse,煽动
Verbindung,繋がり,connection,lien,connessione,conexión,σύνδεση,связь,forbindelse,联系
Verbindungs,接続,Connecting,De liaison,Connessione,Conexión,Συνδετικός,Соединение,Tilslutning,连接
Verbindungslinie,ライン,Line,Ligne,Linea,Línea,Γραμμή,Линия,Linje,线
verdanke,借りている,owe,devoir,essere debitore,deber,οφείλω,быть должным,skylde,欠
verdankt,借りています,owed,dûment,dovuto,debido,οφείλονται,задолженно,skyldes,欠
vereinbar,互換性,compatible,compatibles,compatibile,compatible,σύμφωνος,совместимый,kompatibel,兼容的
verfahren,議事録,proceedings,procédure,procedimenti,actas,διαδικασία,разбирательство,Forløb,程序
vergleichen,比べる,to compare,comparer,per confrontare,comparar,να συγκρίνω,сравнивать,at sammenligne,比较
Vergleichung,比較,Comparison,Comparaison,Confronto,Comparación,Σύγκριση,Сравнение,Sammenligning,比较
Verhältnis,関係,relationship,relation,relazione,relación,σχέση,отношение,forhold,关系
verknüpfen,リンク,link,lien,collegamento,Enlace,Σύνδεσμος,ссылка на сайт,link,关联
verknüpfende,リンク,linked,lié,collegato,vinculado,συνδεδεμένος,связанный,Linket,链接
verkürzt,短縮,shortened,raccourci,abbreviato,acortado,συντομεύιος,сокращен,forkortet,缩短
verlangen,要求する,to demand,demander,chiedere,para demandar,απαιτώ,требовать,at kræve,要求
Verlaufe,コース,Course,Cours,Corso,Curso,Σειρά μαθημάτων,Курс,Rute,课程
Vermutung,仮定,Supposition,Supposition,Supposizione,Suposición,Υπόθεση,Предположение,Antag,假设
Vernachlässigung,忘れる,neglect,la négligence,trascurare,negligencia,παραμέληση,пренебрегать,forsømme,忽视
verschieden,違う,different,différent,diverso,diferente,διαφορετικός,другой,forskellige,不同的
verschwinden,消える,disappear,disparaître,scomparire,desaparecer,εξαφανίζομαι,пропадать,forsvinde,消失
zu versehen,提供する,to provide,fournir,fornire,Para proveer,να παρέχει,предоставлять,at forsyne,提供
verstanden,了解,Roger that,bien reçu,ricevuto,entendido,ελήφθη,заметано,modtaget,收到
verstehen,理解するために,to understand,comprendre,capire,comprender,να καταλαβεις,чтобы понять,at forstå,理解
versuchen,試行する,to attempt,tenter,tentare,intentar,να επιχειρήσει,попытаться,at forsøge,尝试
vertauschen,スワップ,swap,échanger,scambio,intercambio,ανταλαγή,менять,bytte rundt,交换
viele,たくさんの,many,de nombreux,molti,muchos,Πολλά,много,mange,许多
vielmehr,もっと,much more,beaucoup plus,molto di piu,mucho más,πολύ περισσότερο,намного больше,meget mere,多得多
vierter,第4,fourth,Quatrième,il quarto,cuatro,τέταρτος,четвертый,fjerde,第四
vollkommen,完全に,completely,totalement,completamente,completamente,εντελώς,полностью,fuldstændig,完全地
vollständig,完全に,Completely,Totalement,Completamente,Completamente,Εντελώς,Полностью,Fuldstændig,完全地
Volumen,音量,volume,le volume,volume,volumen,Ενταση ΗΧΟΥ,объем,bind,体积
Volumeneinheit,単位,Unit,Unité,Unità,Unidad,Μονάδα,Ед. изм,Enhed,单元
von,から,from,de,da,de,από,из,fra,从
voneinander,互いに,from each other,de chacun d'eux,l'uno dall'altro,de cada uno,ο ένας από τον άλλο,друг от друга,fra hinanden,彼此
vor,前,before,avant de,prima,antes de,πριν,до,Før,前
voraussetzen,推定,assume,présumer,assumere,asumir,υποθέτω,предполагать,antage,认为
Voraussetzung,前提条件,precondition,condition préalable,presupposto,condición previa,προϋπόθεση,предварительное условие,forudsætning,前提
vorhanden,現在,present,cadeau,regalo,presente,παρόν,подарок,til stede,当下
vorher,前,before,avant de,prima,antes de,πριν,до,Før,前
vorhin,ついさっき,earlier,plus tôt,prima,más temprano,νωρίτερα,ранее,Tidligere,较早
vorläufig,暫定的に,provisionally,provisoirement,provvisoriamente,provisionalmente,προσωρινά,временно,foreløbigt,临时
vorliegender,現在,present,cadeau,regalo,presente,παρόν,подарок,til stede,当下
Vorstellung,パフォーマンス,performance,performance,prestazione,actuación,εκτέλεση,производительность,ydeevne,表现
Vorzeichen,サイン,sign,pancarte,cartello,señal,σημάδι,знак,skilt,符号
wachsenden,成長,growing,croissance,in crescita,creciente,αναπτυσσόμενος,растущий,vokser,生长
wählen,選択する,Select,Sélectionner,Selezionare,Seleccione,Επιλέγω,Выбирать,Vælg,选择
wählt,選択します,chooses,choix,sceglie,elige,επιλέγω,выбирает,vælger,选择
während,その間,while,tandis que,mentre,tiempo,ενώ,пока,mens,尽管
wahrgenommene,知覚,perceived,perçu,percepito,percibido,γινεται αντιληπτο,воспринимается,opfattet,感知到
wandert,ハイキング,hiking,randonnée,escursionismo,senderismo,πεζοπορία,пеший туризм,vandreture,远足
wäre,します,would,aurait,voluto,haría,θα,бы,Ville,将
wärtig,勇気のある,courageous,courageux,coraggioso,valiente,θαρραλέος,смелый,modig,勇敢
was,何,What,Quoi,Che cosa,Qué,Τι,какая,Hvad,什么
Wechselwirkung,交流,interaction,interaction,interazione,Interacción,ΑΛΛΗΛΕΠΙΔΡΑΣΗ,взаимодействие,interaktion,相互作用
weder,ない,neither,ni,né,ninguno de los dos,κανενα απο τα δυο,ни один,ingen af ​​dem,两者都不
wegen,なぜなら,because,car,perché,porque,επειδή,потому что,fordi,因为
wegten,消えた,gone,disparu,andato,desaparecido,χαμένος,прошло,væk,走了
wegter,LANE,lane,voie,corsia,carril,λωρίδα,переулок,bane,车道
wegung,動き,movement,mouvement,movimento,movimienot,κίνηση,движение,bevægelse,移动
weise,賢い,wise,sage,saggio,sabio,σοφός,мудрый,klog,明智的
Weisen,点,Point,Indiquer,Punto,Punto,Σημείο,Точка,Punkt,观点
weit,遠い,far,loin,lontano,lejos,μακριά,далеко,langt,远的
weitere,さらに遠く,Further,Plus loin,Ulteriore,Más lejos,Περαιτέρω,Дальше,Yderligere,更远
welche,どれの,Which,Qui,Quale,Cual,Οι οποίες,Который,Hvilken,哪个
Welle,波,Wave,Vague,Onda,Ola,Κύμα,Волна,Bølge,海浪
Wellennormale,軸,Shaft,Arbre,Lancia,Eje,Αξονας,Вал,Aksel,轴
Wellennormalen,軸,Shaft,Arbre,Lancia,Eje,Αξονας,Вал,Aksel,轴
Wellenzug,波の行列,Wave procession,Procession des vagues,Processione d'onda,Procesión de ola,Πομπή κυμάτων,Волновая процессия,Bølgeprocession,波浪游行
wenden,振り向く,turn around,tourner autour,girarsi,Giro de vuelta,γυρίζω,повернись,Vend om,回转
wenn,もしも,if,si,Se,si,αν,если,hvis,如果
werden,意思,will,sera,volere,voluntad,θα,будут,vilje,将要
Wert,価値,value,évaluer,valore,valor,αξία,ценность,værdi,价值
werten,評価,evaluate,évaluer,valutare,evaluar,αξιολογώ,оценивать,vurdere,评估
Wertsystem,価値システム,Value system,Système de valeurs,Sistema di valore,Sistema de valores,Σύστημα αξιολόγησης,Система ценностей,Værdisystem,价值系统
Wertung,評価,Rating,Évaluation,Valutazione,Clasificación,Εκτίμηση,Рейтинг,Bedømmelse,评分
wertvolle,貴重,valuable,de valeur,prezioso,valioso,πολύτιμος,ценный,værdifuld,有价值的
wesentlich,重要,significant,important,significativo,importante,σημαντικός,значительный,væsentlig,重要的
wichtig,重要,important,important,importante,importante,σπουδαίος,важный,vigtig,重要的
wickeln,包む,wrap,envelopper,avvolgere,envolver,κάλυμμα,сворачивать,Wrap,裹
widerspruchsfreien,非矛盾,non -contradictions,non-contradictions,non contraddizioni,no contradicciones,μη αντιπαραθέσεις,Не -Контрадические действия,ikke -kontroversikkerheder,非偶然性
widerspruchsfreier,非矛盾,non -contradictions,non-contradictions,non contraddizioni,no contradicciones,μη αντιπαραθέσεις,Не -Контрадические действия,ikke -kontroversikkerheder,非偶然性
wie,どうやって,how,comment,come,cómo,πως,как,hvordan,如何
wieder,また,again,encore,ancora,otra vez,πάλι,опять таки,igen,再次
Wiese,牧草地,Meadow,Prairie,Prato,Prado,Λιβάδι,Луг,Eng,草地
Winkel,角度,angle,angle,angolo,ángulo,γωνία,угол,vinkel,角度
wir,私たち,we,nous,noi,nosotros,εμείς,мы,vi,我们
wird,なります,becomes,devient,diventa,convertirse en,γίνεται,становится,bliver til,变成
zu wirken,行動する,to act,agir,recitare,actuar,να ενεργήσω,играть,at handle,行动
Wirkung,効果,Effect,Effet,Effetto,Efecto,Αποτέλεσμα,Эффект,Effekt,影响
wissen,知るために,to know,à savoir,sapere,saber,να ξερω,знать,at vide,知道
wo,どこ,Where,Où,Dove,Dónde,Οπου,Где,Hvor,在哪里
wobei,したがって,whereby,par lequel,per cui,por lo cual,διά του οποίου,Посредством чего,hvorved,那里
wohl,おそらく,probably,Probablement,probabilmente,probablemente,πιθανώς,вероятно,sandsynligvis,大概
wollen,欲しいです,want,vouloir,volere,desear,θέλω,хочу,vil have,想
woraus,そこから,from which,à partir duquel,da cui,a partir del cual,από την οποία,из которого,hvorfra,从中
worden,消えた,gone,disparu,andato,desaparecido,χαμένος,прошло,væk,走了
Wort,語,Word,Mot,Parola,Palabra,Λέξη,Слово,Ord,单词
Würde,します,Would,Aurait,Voluto,haría,Θα,Бы,Ville,将
Wurzel,根,root,racine,radice,raíz,ρίζα,корень,rod,根
Zahlen,カウント,Counting,Compte,Conteggio,Contando,Αρίθμηση,Считает,Tælling,数数
Zeichen,サイン,sign,pancarte,cartello,señal,σημάδι,знак,skilt,符号
Zeichenwechsel,サインの変更,Change of sign,Changement de signe,Cambio di segno,Cambio de signo,Μεταβολή του σημείου,Смена знака,Ændring af tegn,更改标志
zeigen,実証します,demonstrate,démontrer,dimostrare,demostrar,επιδεικνύω,продемонстрировать,demonstrere,证明
Zeiger,ポインター,pointer,aiguille,Pointer,puntero,δείκτης,указатель,markør,指针
Zeigerstellung,ポインター,Pointer,Aiguille,Pointer,Puntero,Δείκτης,Указатель,Markør,指针
zeigen,実証します,demonstrate,démontrer,dimostrare,demostrar,επιδεικνύω,продемонстрировать,demonstrere,证明
Zeit,時間,time,temps,volta,tiempo,χρόνος,время,tid,时间
Zeitbestimmung,時間決定,Time determination,Détermination du temps,Determinazione del tempo,Determinación de tiempo,Καθορισμός χρόνου,Определение времени,Tidsbestemmelse,时间确定
Zeitdauer,間隔,Duration,Durée,Durata,Duración,Διάρκεια,Продолжительность,Varighed,期间
Zeiteinheit,単位,Unit,Unité,Unità,Unidad,Μονάδα,Ед. изм,Enhed,单元
Zeitepoch,ピーク,Peak,De pointe,Picco,Cima,Κορυφή,Вершина горы,Spids,顶峰
zeitig,やがて,in time,à l'heure,in tempo,a tiempo,εγκαίρως,во время,i tide,及时
zeitlich,一時的,temporary,temporaire,temporaneo,temporario,προσωρινός,временный,midlertidig,暂时的
Zeits,強制,Forced,Forcé,Costretto,Forzado,Αναγκασμένος,Принужденный,Tvunget,强迫
Zeitteilchen,団子,Dumpling,Boulette,Dumpling,Bola de masa hervida,Είδος ζυμαρικών,Пельмени,Dumpling,饺子
Zeittransformation,時間変換,Time transformation,Transformation du temps,Trasformazione del tempo,Transformación de tiempo,Μετασχηματισμός χρόνου,Время трансформация,Tidstransformation,时间转换
Zeugnis,転写産物,Transcript,Transcription,Trascrizione,Transcripción,Αντίγραφο,Транскрипт,Transkription,成绩单
zu,に,to,à,a,a,προς την,к,til,至
zueinander,お互いに,to each other,les uns des autres,a vicenda,el uno al otro,ο ένας στον άλλον,друг другу,til hinanden,对彼此
zuerst,最初,first,première,primo,primero,πρώτα,первый,først,第一的
zufassen,理解するために,to understand,comprendre,capire,comprender,να καταλαβεις,чтобы понять,at forstå,理解
zufolge,によると,according to,selon,secondo,de acuerdo a,σύμφωνα με,согласно с,ifølge,根据
zufügen,追加,add,ajouter,Inserisci,agregar,Προσθήκη,добавлять,tilføje,添加
zugänglich,アクセス可能,accessible,accessible,accessibile,accesible,προσιτός,доступный,tilgængelig,无障碍
Zugehörigkeit,所属,Affiliation,Affiliation,Affiliazione,Afiliación,Δεσμός,Принадлежность,tilknytning,联系
zuordnen,割当,assign,attribuer,assegnare,asignar,αναθέτω,назначать,tildele,分配
Zug,訓練,train,former,treno,tren,τρένο,тренироваться,tog,火车
zugleich,同時に,simultaneously,simultanément,contemporaneamente,simultaneamente,ΤΑΥΤΟΧΡΟΝΑ,одновременно,samtidigt,同时
Zugrundelegung,根底にある,Underlying,Sous-jacent,Sottostante,Subyacente,Υποκείμενες,В основе,Underliggende,潜在的
Zuhilfenahme,援助,Aid,Aide,Aiuto,Ayuda,Βοήθεια,Помогать,Hjælpe,援助
zukommen,得る,get,obtenir,ottenere,obtener,παίρνω,получить,få,得到
zum,に,to the,au,al,hacia,στο,в,til,到
zunächst,最初,first,première,primo,primero,πρώτα,первый,først,第一的
Zuordnung,割り当て,Assignment,Mission,Incarico,Asignación,ΑΝΑΘΕΣΗ ΕΡΓΑΣΙΑΣ,Назначение,Opgave,任务
zur,に,to the,au,al,hacia,στο,в,til,到
zurück,戻る,return,revenir,Restituzione,devolver,ΕΠΙΣΤΡΟΦΗ,возвращаться,Vend tilbage,返回
zurückbleiben,後ろにとどまる,stay behind,rester en arrière,stai dietro,quedarse atrás,Μείνε πίσω,остаться позади,Bliv bag,站在后面
zurückführen,トレースバック,trace back,remonter,rintracciare,rastrear,ανατρέχω,проследить,spore tilbage,追溯
zurückkommen,戻ってくる,Come back,Revenir,Ritorno,Regresar,Ελα πισω,Вернись,Kom tilbage,回来
zusammen,一緒,together,ensemble,insieme,juntos,μαζί,вместе,sammen,一起
zusammenfallen,崩壊,collapse,effondrement,crollo,colapsar,κατάρρευση,крах,bryder sammen,坍塌
zusammensetzen,まとめる,put together,mettre ensemble,mettere insieme,juntar,βάζω μαζί,собрать вместе,lægge sammen,放在一起
Zusammensetzung,構成,composition,composition,composizione,composición,σύνθεση,сочинение,sammensætning,作品
Zustand,調子,Condition,Condition,Condizione,Condición,Κατάσταση,Условие,Tilstand,健康）状况
zufügen,追加,add,ajouter,Inserisci,agregar,Προσθήκη,добавлять,tilføje,添加
zwar,あれは,that is,C'est,questo è,eso es,αυτό είναι,то есть,det er,那是
Zweck,目的,purpose,objectif,scopo,objetivo,σκοπός,цель,formål,目的
zwei,2,two,deux,Due,dos,δύο,два,to,二
zweimalige,2つの時間,two -time,deux fois,Due volte,dos veces,δύο φορές,два -время,to gange,两个时间
zweiten,2番目,second,deuxième,secondo,segundo,δεύτερος,второй,sekund,第二
zwischen,その間に,in between,entre,nel mezzo,entre,ανάμεσα,между,ind i mellem,介于两者之间