ggen,paricle,ja,fr,de,zh-cn,it,es,ru,el,da
for,接続詞,というのも,pour,für,该对,per,por,за,Για,til
call,動詞,呼ぶ,l'appel,Anruf,通话,chiamare,llamar,звонить,για να καλέσετε,at ringe
direction,名詞,方向,la direction,Richtung,方向,direzione,dirección,направление,κατεύθυνση,retning
equal,動詞,等しい,l'égalité,gleich,平等,a pari,A igual,равному,σε ίσο,til lig
equal,形容詞,等しい,l'égalité,gleich,平等,pari,igual,равный,ίσος,lige
field,名詞,場 (e.g. 電磁場),champ,Feld,场,campo,campo,поле,πεδίο,Mark
first,形容詞,最初の,la première,Erste,首先,primo,primero,первый,πρώτα,først
following,形容詞,以下のような,suivant,folgende,下列,seguente,siguiendo,следующий,ΕΠΟΜΕΝΟ,følge
parallel,形容詞,平行な,parallèle,parallelen,并行,parallelo,paralela,параллель,παράλληλο,parallel
place,名詞,場所,lieu,Ort,的地方,posto,lugar,место,θέση,placere
synchronous,形容詞,同期した,synchrone,synchrone,同步,sincrono,sincrónico,синхронно,σύγχρονος,synkron
than,接続詞・前置詞,より,l'que,als,在比,di,que,чем,από,end
by,前置詞,によって,par,durch,通过该,di,por,по,με,ved
the,冠詞,,la les,die,在该,il,la,а,ο,det
with,前置詞,とともに,avec,mit,和,insieme a,con,с,με,med
be,動詞,be 動詞の原形,être,sein,是,essere,ser,быть,είναι,være
assume,動詞,仮定する,présumer,annehmen,假设,assumere,asumir,предположить,να υποθέσω,at antage
can,助動詞,できる,pouvoir,können,可,Potere,pueden,Можно,μπορώ,kan
editor,名詞,編集者,l'éditeur,Editor,编辑,editore,editor,редактор,συντάκτης,redaktør
event,名詞,事象 (物理の専門用語としての訳),l'événement,Ereignis,事件,evento,evento,мероприятие,Εκδήλωση,begivenhed
find,動詞,見つける,trouver,finden,找到,trovare,encontrar,найти,να βρω,at finde
good,形容詞,良い,bon,gute,良好,Buona,bueno,хороший,Καλός,godt
measuring-rod,名詞,測定棒,la tige de mesure,Messstab,测量杆,Misuration-Rod,vara de medir,измерение,ράβδος μέτρησης,måle-stang
only,副詞,のみ,seul,einzige,唯一的,solo,solamente,Только,μόνο,kun
the part,名詞,部、部分,la partie,Teil,那个部分,la parte,la parte,часть,το μέρος,den del
since,接続詞,...だから,depuis,seit,在自,da,ya que,поскольку,Από,siden
small,形容詞,小さい,petit,kleine,小,piccolo,pequeña,маленький,μικρό,lille
so,副詞,そのように,soi,so,所谓,Così,asi que,так,Έτσι,så
unit,名詞,単位,l'unité,Einheit,那个单位,unità,unidad,Ед. изм,μονάδα,enhed
what,関係代名詞、疑問詞,何,quoi,was,在什么,che cosa,qué,какие,τι,hvad
the accordance,名詞,一致、合致、調和,la conformité,gemäß,按照该,la conformità,el acuerdo,Соглашение,τη συμφωνία,i overensstemmelse
the case,名詞,場合,l'affaire,Fall,案子,il caso,el caso,дело,η υπόθεση,sagen
the conductor,名詞,導体,conducteur,Schaffner,导体,il conduttore,el conductor,проводник,ο αγωγός,lederen
determine,動詞,決める,déterminer,bestimmen,确定,determinare,para determinar,определить,να καθορίσει,at bestemme
develop,動詞,発展する,développer,entwickeln,发展,sviluppare,desarrollar,развивать,για να αναπτυχθεί,at udvikle
electromagnetic,形容詞,電磁的,électromagnétique,elektromagnetische,电磁,elettromagnetico,electromagnético,электромагнитный,ηλεκτρομαγνητικός,elektromagnetisk
empty,形容詞,空の,vide,leere,空,vuoto,vacío,пустой,αδειάζω,tom
the function,名詞,関数,la fonction,Funktion,功能,la funzione,la función,функция,η λειτουργία,funktionen
hold,動詞,保持する、成り立つ,la cale,Halt,保持,tenere,sostener,держать,να κρατήσω,at holde
imagine,動詞,想像する,l'imaginer,vorstellen,在想象,immaginare,imaginar,представить,φαντάζομαι,at forestille sig
the law,名詞,物理法則,la loi,Gesetz,法律,la legge,la Ley,закон,ο νόμος,loven
the line,名詞,線,la ligne,Linie,行,la linea,la línea,линия,η γραμμή,linjen
the magnet,名詞,磁石,l'aimant,Magnet,磁铁,il magnete,el imán,магнит,ο μαγνήτης,Magneten
the position,名詞,位置,la position,Position,位置,la posizione,la posición,позиция,η θεση,positionen
second,名詞,2,la deuxième,Zweite,第二,il secondo,el segundo,секунда,το δεύτερο,Sekundet
second,名詞,秒,la deuxième,Sekunde,第二,il secondo,el segundo,секунда,το δεύτερο,Sekundet
state,動詞,述べる,établir,sagen,说明,a dichiarare,a estado,в заявление,να δηλώσω,at angive
the state,名詞,状態,l'état,Staat,国家,lo stato,el estado,штат,το κράτος,staten
such,形容詞,そのような,tel le,solche,在这样的,tale,tal,такой,τέτοιος,sådan
valid,形容詞,妥当な,la validité,gültig,有效,valido,válido,действительный,έγκυρος,gyldig
without,前置詞,---なしで,sans la,ohne,在无,senza,sin que,без,χωρίς,uden
which,副詞、関係代名詞,これ,Which,die,哪家,quale,cual,который,οι οποίες,hvilken
time,動詞,時間を決める,temps,Zeit,时间,a tempo,al tiempo,ко времени,προς το χρόνο,til tiden
the time,名詞,時間,temps,Zeit,时间,il tempo,el tiempo,время,Η ωρα,tiden
for,前置詞,にとって,pour,für,该对,per,por,за,Για,til
from,前置詞,から,la de,von,从该,da,de,из,από,fra
stationary,形容詞,定常的な、静止した,stationnaire,stationäre,固定,stazionario,estacionario,стационарный,ακίνητος,stationær
this,名詞,この,la présente,diese,这将,questo,este,это,Αυτό,dette
act,動詞,作用する,agir,Handeln,行动,recitare,actuar,играть,να ενεργήσω,at handle
the addition,名詞,和 (数学),l'addition,Zugabe,加,l'addizione,la adicion,дополнение,η προσθήκη,tilføjelsen
another,形容詞,別の,l'Autre,anderen,另一,altro,otro,еще один,αλλο,en anden
do,動詞,する,fait,do,该做的,fare,hacer,делать,κάνω,Gør
forces,名詞 (複数形),-> force,les forces,Mächte,力量,forze,efectivo,силы,δυνάμεις,kræfter
locate,動詞,位置する,pour localiser,lokalisieren,定位,localizzare,localizar,найти,για να εντοπίσω,at lokalisere
the manner,名詞,やり方,la manière,Methode,方式,Il modo,la manera,манера,ο τρόπος,måde
the mass,名詞,質量 (物理の専門用語),la masse,Masse,质量,la massa,la masa,масса,η μάζα,massen
note,動詞,注意する,À noter,notieren,要注意,da notare,notar,отметить,να σημειωθεί,At notere
the quantity,名詞,量,la quantité,Quantität,数量,la quantità,la cantidad,количество,η ποσότητα,mængden
reflected,動詞 (過去分詞),-> reflect,réfléchi,reflektierte,反射,riflesso,reflejado,отражен,αντανακλασμένος,reflekteret
simultaneous,形容詞,同時の,simultanée,gleichzeitige,同时,simultaneo,simultáneo,одновременный,ταυτόχρονος,samtidig
they,代名詞,彼ら,plus ils,sie,在他们,essi,ellos,Oни,αυτοί,de
the value,名詞,値,la valeur,Wert,价值,il valore,el valor,Значение,η αξία,værdien
the watch,名詞,時計,la montre,Uhr,手表,l'orologio,el reloj,часы,το ρολόι,uret
it,代名詞,それ,plus il,es,在这,esso,eso,Это,το,det
as,前置詞,として,comme,als,作为该,come,como,в качестве,όπως και,som
if,接続詞,もし,si le,if,中频,Se,si,если,αν,hvis
the light,名詞,光,la lumière,Licht,光,la luce,la luz,свет,το φως,lyset
the velocity,名詞,速度,la vitesse,Geschwindigkeit,速度,la velocità,la velocidad,скорость,η ταχύτητα,hastigheden
Einstein,名詞,アインシュタイン (人名),Einstein,Einstein,爱因斯坦,Einstein,Einstein,Эйнштейн,Αϊνστάιν,Einstein
Maxwell-Hertz,名詞,マクスウェル-ヘルツ (両方とも人名),Maxwell-Hertz,Maxwell-Hertz,麦克斯韦-赫兹,Maxwell-Hertz,Maxwell-hertz,Максвелл-Херц,Maxwell-Hertz,Maxwell-Hertz
above,前置詞,上の,ce qui précède,obenstehendes,以上,sopra,arriba,выше,πάνω από,over
always,副詞,常に,toujours,immer,总是,sempre,siempre,всегда,πάντα,altid
appear,動詞,現れる、見える、思える,apparaître,erscheinen,出现,apparire,a aparecer,появляться,να εμφανιστεί,vises
complex,形容詞,複雑な,complexe,Komplex,复杂,complesso,complejo,сложный,συγκρότημα,kompleks
the constancy,名詞,恒常性,la constance,Konstanz,恒常,la costanza,la constancia,постоянство,η σταθερότητα,Konstansen
the constant,名詞,定数,la constante,Konstante,恒,il costante,el constante,постоянная,η σταθερά,den konstante
definite,形容詞,一定の,précise,definitive,定,preciso,definido,определенный,σαφής,bestemt
each,名詞,各,EACH,jeweils,各,a testa,cada,каждый,καθε,hver
the electricity,名詞,電気,l'électricité,Strom,电力,l'elettricità,la electricidad,электричество,ο ηλεκτρισμός,elektricitet
electromotive,形容詞,起電の,électromotrice,elektro,电动,elettromotivo,electromotivo,электродвигьев,ηλεκτροπαραγωγός,elektromotorisk
the expression,名詞,表現,l'expression,Ausdruck,表达方式,l'espressione,la expresion,выражение,η έκφραση,udtrykket
laws,名詞 (複数形),-> law,les lois,Gesetze,法律,leggi,leyes,законы,του νόμου,love
less,形容詞 (比較級),-> little,moins,je weniger,少,meno,menos,меньше,πιο λιγο,mindre
the material,名詞,物質,matériel,Material,材料,il materiale,el material,материал,το υλικό,materialet
might,助動詞 (過去形),-> may,la puissance,Macht,威力,potrebbe,puede que,мощь,θα μπορούσε,magt
more,副詞,さらに,plus,je mehr,越,Di più,más,более,περισσότερο,mere
original,形容詞,元の,l'original,Original,原本的,originale,original,оригинал,πρωτότυπο,original
possible,形容詞,可能な,possible,Mögliche,可能,possibile,posible,возможный,δυνατόν,muligt
present,形容詞,現在,cadeau,gegenwärtig,当下,regalo,presente,подарок,παρόν,til stede
propagate,動詞,伝播する,Propager,Fortpflanzungs,在繁殖,propagare,propagar,распространять,να διαδοθεί,at forplantes
result,動詞,起因する,résulter,Ergebnis,结果,risultato,resultar,результат,αποτέλεσμα,resultat
the result,名詞,結果,résultat,Ergebnis,结果,il risultato,el resultado,результат,το αποτέλεσμα,resultatet
say,動詞,言う,la parole,Mitsprache,发言权,dire,decir,сказать,να πω,at sige
see,動詞,見る,voir,See,教廷,vedere,para ver,увидеть,για να δω,at se
shall,助動詞,,doit,soll,在应,deve,deberá,должен,θα,skal
the source,名詞,源,la source,Quelle,来源,la fonte,la fuente,источник,η πηγή,kilden
the sphere,名詞,球体,la sphère,Sphäre,球体,la sfera,la esfera,Сфера,η σφαίρα,kuglen
spherical,形容詞,球状の,la sphérique,sphärische,球形,sferico,esférico,сферический,σφαιρικός,sfærisk
take,動詞,取る,la prise,Aufnahme,取,prendere,tomar,брать,να παρεις,at tage
three,名詞,三,les trois,Drei,他们三个,tre,Tres,три,τρία,tre
us,代名詞 (目的格),私達を,les Etats Unis,uns,美国,noi,a nosotros,нас,μας,os
of,前置詞,の,la de,von,对的,di,de,из,του,af
according,(熟語),---によって (according to で),suivant,entsprechenden,根据该,secondo,de acuerdo a,в соответствии,σύμφωνα με,ifølge
the approximation,名詞,近似,rapprochement,Annäherung,逼近,l'approssimazione,la aproximación,приближение,η προσέγγιση,tilnærmelsen
base,動詞,基礎づける,la base,Basis,基,basare,a la base,на основание,στη βάση,at basere
change,動詞,変化する,changer,ändern,改变,cambiare,cambiar,изменить,να αλλάξει,at skifte
the consideration,名詞,考慮,la prise en compte,Gegenleistung,考虑,la considerazione,la consideración,рассмотрение,η σκέψη,overvejelsen
different,形容詞,異なる (-> differ),différent,Unterschied,不同,diverso,diferente,другой,διαφορετικός,forskellige
directly,副詞,直接,directement le,direkt,直接,direttamente,directamente,напрямую,κατευθείαν,direkte
the edition,名詞,版 (-> edit),l'édition,Ausgabe,版本,L'edizione,la edición,издание,η έκδοση,udgaven
electrodynamic,形容詞,電気力学的,l'électrodynamique,elektro,该电动,elettrodinamico,electrodinámico,электродинамический,ηλεκτροδυναμικός,elektrodynamisk
emit,動詞,放出する,émettre,emittieren,发射,per emettere,emitir,излучать,να εκπέμπω,at udsende
evidently,副詞,-> evident,l'évidence,offenbar,显然的,chiaramente,evidentemente,очевидно,προφανώς,åbenbart
the example,名詞,例,l'exemple,Beispiel,这个例子,l'esempio,el ejemplo,пример,το παράδειγμα,eksemplet
the frequency,名詞,周波数,la fréquence,Frequenz,频率,la frequenza,la frecuencia,Частота,η συχνότητα,frekvensen
give,動詞,与える,donner,geben,该给予,dare,dar,давать,το να δίνεις,at give
the help,名詞,助け,l'aide,Hilfe,帮助,l'aiuto,la ayuda,помощь,η βοήθεια,hjælpen
i.e.,副詞,すなわち (ラテン語の id est=that is),savoir,d.h.,该即,cioè.,es decir.,т.е.,δηλαδή,dvs.
independent,形容詞,独立の,L'indépendant,Unabhängige,独立,indipendente,independiente,независимый,ανεξάρτητος,uafhængig
inquire,動詞,問い合わせる,l'Renseignez-,Anfragen,该查询,per indagare,para inquirir,чтобы узнать,να ρωτήσω,at spørge
introduce,動詞,紹介する,l'introduisons,Einführung,的介绍,introdurre,introducir,вводить,παρουσιάζω,indføre
just,副詞,ただ,juste,Gerechte,刚,Appena,sólo,просто,μόλις,lige
occur,動詞,起きる,lieu,auftreten,在发生,verificarsi,ocurrir,происходить,συμβούν,forekomme
order,名詞,次数,l'ordre,Bestellung,命令,ordine,ordenar,заказ,Σειρά,bestille
physical,形容詞,物理的な,la physique,körperliche,物理,fisico,físico,физический,φυσικός,fysisk
plane,形容詞,平面の,l'avion,Flugzeug,飞机,aereo,plano,самолет,επίπεδο,fly
pressure,名詞,圧力,la pression,Druck,压力,pressione,presión,давление,πίεση,tryk
property,名詞,性質,la propriété,Eigenschaft,属性,proprietà,propiedad,имущество,ιδιοκτησία,ejendom
reason,名詞,理由,la raison,Grund,原因,Motivo,razón,причина,λόγος,grund
remark,動詞,注意する,remarquer,bemerken,说,notare,para observar,чтобы отметить,να παρατηρήσω,at bemærke
the remark,名詞,注意,la remarque,Bemerkung,此言,l'osservazione,el comentario,замечание,η παρατήρηση,bemærkningen
the respect,名詞,点,respect,Respekt,尊重,il rispetto,el respeto,уважение,ο σεβασμός,respekten
respectively,副詞,各々,respectivement le,jeweils,分别,rispettivamente,respectivamente,соответственно,αντίστοιχα,henholdsvis
set,動詞,置く,l'ensemble,Satz,集合,impostare,para establecer,устанавливать,να ορίσει,at sætte
simple,形容詞,単純な,simple,Einfache,简单,semplice,simple,просто,απλός,enkel
the symbol,名詞,記号,symbole,Symbol,符号,il simbolo,el símbolo,символ,το σύμβολο,symbolet
the symmetry,名詞,対称,la symétrie,Symmetrie,对称性,la simmetria,la simetría,Симметрия,η συμμετρία,Symmetrien
synchronize,動詞,同期する,la synchronisation,Synchronisierungs,在同步,sincronizzare,para sincronizar,синхронизировать,για συγχρονισμό,at synkronisere
their,代名詞 (所有格),彼らの,la leur,ihre,在他们的,i loro,sus,их,δικα τους,deres
under,前置詞,下,la sous,Untere,下,sotto,por debajo,под,υπό,under
uniform,形容詞,一様な,l'uniforme,Uniform,制服,uniforme,uniforme,униформа,στολή,uniform
vector,名詞,ベクトル,vecteur,Vektor,矢量,vettore,vector,вектор,διάνυσμα,Vector
view,動詞,見る,la vue,Aussicht,风景,vedere,para ver,смотреть,προς προβολή,at se
the view,名詞,見方,la vue,Aussicht,风景,la vista,la vista,вид,η θέα,udsigten
the wave,名詞,波,la vague,Welle,海浪,l'onda,la ola,волна,το κύμα,bølgen
the motion,名詞,動き,mouvement,Bewegung,运动,la mozione,el movimiento,движение,η κίνηση,bevægelsen
when,副詞、接続詞,いつ,quand,wenn,该时,quando,cuando,когда,πότε,hvornår
have,動詞,持つ,l'ont,haben,在有,avere,tener,иметь,να έχω,at have
two,名詞,2,les deux,Zwei,他们俩,Due,dos,два,δύο,to
the electron,名詞,電子,l'électron,Elektron,电子,l'elettrone,el electrón,Электрон,το ηλεκτρόνιο,elektronet
Lorentz,名詞,ローレンツ (人名),Lorentz,Lorentz,洛伦兹,Lorentz,Lorentz,Лоренц,Λορίδιο,Lorentz
the account,名詞,計算,compte,Konto,帐号,l'account,la cuenta,счет,ο λογαριασμός,kontoen
the action,名詞,作用,l'action,Aktion,那个行动,l'azione,la acción,Действие,η δράση,handlingen
after,副詞、前置詞,後に,l'après,nach,后,dopo,después,после,μετά,efter
the agreement,名詞,一致,l'accord,Vereinbarung,协议,l'accordo,el acuerdo,соглашение,η συμφωνία,aftalen
the amplitude,名詞,振幅,l'amplitude,Amplitude,振幅,l'ampiezza,la amplitud,амплитуда,το εύρος,amplituden
the angle,名詞,角度,l'angle,Winkel,角,l'angolo,el ángulo,угол,η γωνία,vinklen
apply,動詞,適用する,l'appliquer,Anwendung,该申请,applicare,Aplicar,применять,να εφαρμόσει,at ansøge
the arrival,名詞,到着,l'arrivée,Ankunft,到货,l'arrivo,la llegada,Прибытие,η άφιξη,ankomsten
arrive,動詞,到着する,l'arrive,ankommen,在到达,arrivare,llegar,прибыть,να φτάσω,at ankomme
the assumption,名詞,仮定,l'hypothèse,Annahme,假设,il presupposto,la suposición,предположение,το συμπέρασμα,antagelsen
the basis,名詞,基礎,la base,Basis,依据,la base,la base,основа,η βάση,grundlaget
the calculation,名詞,計算,calcul,Berechnung,计算,il calcolo,el cálculo,расчет,ο υπολογισμός,beregningen
cannot,助動詞,-> can not,ne peut pas,kann nicht,在不能,non può,no poder,не может,δεν μπορώ,kan ikke
coincide,動詞,一致する,coïncident,fallen zusammen,该不谋而合,coincidere,para coincidir,совпадать,να συμπίπτει,at falde sammen
common,形容詞,一般,commun,gemeinsame,常见,Comune,común,общий,κοινός,almindelige
the composition,名詞,組成、合成,la composition,Zusammensetzung,组成,la composizione,la composición,сочинение,η σύνθεση,sammensætningen
the concept,名詞,概念,concept,Konzept,这个概念,il concetto,el concepto,концепт,η ιδέα,konceptet
the current,名詞,電流,courant,jetzige,当前,il corrente,la corriente,электрический ток,το τρέχον,den nuværende
deduce,動詞,推定する,déduire,folgern,推断,dedurre,deducir,вывести,να συμπεράνουμε,at udlede
define,動詞,定義する,définir,definieren,界定,definire,definir,определить,Για να ορίσω,at definere
the document,名詞,資料,document,Dokument,文件,il documento,el documento,документ,το έγγραφο,dokumentet
electrostatic,形容詞,静電的な,l'électrostatique,elektrostatische,静电,elettrostatico,electrostático,электростатический,ηλεκτροστατικός,elektrostatisk
the end,名詞,終了,la fin,Ende,结束,la fine,el fin,конец,το τέλος,slutningen
the epoch,名詞,時代,l'époque,Epoche,时代,l'epoca,la época,эпоха,Η εποχή,epoken
figure,動詞,考える,la figure,Figur,图,capire,para figurar,чтобы фигурировать,να υπολογίζω,at finde ud af
the figure,名詞,形,la figure,Figur,图,la figura,la figura,фигура,η εικόνα,figuren
the former,名詞,前者,l'ancien,Vorherige,前者,l'ex,el primero,бывший,το προηγούμενο,den tidligere
hence,副詞,それゆえに,l'où,damit,因此，该,quindi,por eso,следовательно,ως εκ τούτου,Derfor
high,形容詞,高い,haut,Hoch,高,alto,alto,высокая,υψηλός,høj
identical,形容詞,同じ,l'identique,identische,相同,identico,idéntico,идентичный,πανομοιότυπο,identisk
increase,動詞,増える,augmenter,erhöhen,增加,aumentare,para aumentar,увеличивать,αύξηση,at forøge
initial,形容詞,初期の,la première,Anfangs,最初的,iniziale,inicial,исходный,αρχικός,initial
the instant,名詞,瞬間,l'instant,Moment,瞬间,L'istante,el instante,Мгновенный,η στιγμή,det øjeblik
the intensity,名詞,強さ,l'intensité,Intensität,力度,l'intensità,la intensidad,интенсивность,η ένταση,intensiteten
the introduction,名詞,導入,l'introduction,Einleitung,引进,l'introduzione,la introducción,вступление,η ΕΙΣΑΓΩΓΗ,introduktionen
the kinematics,名詞,運動学,la cinématique,Kinematik,运动学,la cinematica,la cinemática,Кинематика,η κινηματική,Kinematikken
kinetic,形容詞,動的な,la cinétique,kinetische,动能,cinetico,cinético,кинетический,κινητικός,kinetisk
meaning,名詞,意味,sens,Bedeutung,意义,significato,sentido,значение,έννοια,betyder
mechanics,名詞,力学,la mécanique,Mechaniker,力学,meccanica,mecánica,механика,Μηχανική,mekanik
mind,名詞,精神,l'esprit,Verstand,思想,mente,mente,разум,μυαλό,sind
moment,名詞,瞬間,moment,Moment,此时此刻,momento,momento,мгновенный,στιγμή,øjeblik
my,代名詞 (所有格),自分の,la ma,meine,我的,mio,mi,мой,μου,min
neighbourhood,名詞,周囲、近傍,quartier,Nachbarschaft,附近,quartiere,vecindario,район,γειτονιά,kvarter
perpendicularly,副詞,垂直に,perpendiculairement,senkrecht,在垂直,perpendicolarmente,perpendicularmente,перпендикулярно,κάθετα,vinkelret
play,動詞,役割を果たす,jeu,Spiel,表演,giocare a,desempeñar,играть в,παίζω,Spil
ponderable,形容詞,測れる,pondérable,ponderable,在有重量,ponderabile,ponderable,размышляющий,ζυγιστός,overvejes
ratio,名詞,比率,rapport,Verhältnis,比例,rapporto,relación,соотношение,αναλογία,forhold
relation,名詞,関係,la relation,Beziehung,关系,relazione,relación,связь,σχέση,relation
relative,形容詞,相対的な,rapport,relativen,相对,parente,pariente,родственник,συγγενής,i forhold
sense,名詞,感覚,sens,Sinn,感,senso,sentido,смысл,έννοια,følelse
signal,名詞,信号,signal,Signal,信号,segnale,señal,сигнал,σήμα,signal
signals,名詞 (複数形),-> signal,les signaux,Signale,信号,Segnali,señales,сигналы,σήματα,signaler
simply,副詞,単に,simple,einfach,简,semplicemente,simplemente,просто,απλά,ganske enkelt
simultaneity,名詞,同時性,la simultanéité,Gleichzeitigkeit,同时性,simultaneità,simultaneidad,одновременность,ταυτόχρονη,samtidighed
situate,動詞,置く,la sis et situés,situate,该宅院,situare,situar,сидеть,θέτω,placere
situated,動詞 (過去分詞),-> situate,situé,Lage,在位于,situato,situado,расположенный,ευρισκόμενος,beliggende
slow,形容詞,遅い,ralentissement,langsame,慢,Lento,lento,медленный,αργός,langsom
slowly,副詞,ゆっくり,lentement,langsam,慢慢,lentamente,despacio,медленно,αργά,Langsomt
